"h48.45vsD","h48.30vsD and h48.45vsD","h24.45vsD and h48.45vsD","h24.30vsD and h48.45vsD","h8.45vsD and h48.45vsD","h8.30vsD and h48.45vsD","h48.45vsD and h48.30vsD","h48.30vsD","h24.45vsD and h48.30vsD","h24.30vsD and h48.30vsD","h8.45vsD and h48.30vsD","h8.30vsD and h48.30vsD","h48.45vsD and h24.45vsD","h48.30vsD and h24.45vsD","h24.45vsD","h24.30vsD and h24.45vsD","h8.45vsD and h24.45vsD","h8.30vsD and h24.45vsD","h48.45vsD and h24.30vsD","h48.30vsD and h24.30vsD","h24.45vsD and h24.30vsD","h24.30vsD","h8.45vsD and h24.30vsD","h8.30vsD and h24.30vsD","h48.45vsD and h8.45vsD","h48.30vsD and h8.45vsD","h24.45vsD and h8.45vsD","h24.30vsD and h8.45vsD","h8.45vsD","h8.30vsD and h8.45vsD","h48.45vsD and h8.30vsD","h48.30vsD and h8.30vsD","h24.45vsD and h8.30vsD","h24.30vsD and h8.30vsD","h8.45vsD and h8.30vsD","h8.30vsD","h48.30vsD but not h48.45vsD","h24.45vsD but not h48.45vsD","h24.30vsD but not h48.45vsD","h8.45vsD but not h48.45vsD","h8.30vsD but not h48.45vsD","h48.45vsD but not h48.30vsD","h24.45vsD but not h48.30vsD","h24.30vsD but not h48.30vsD","h8.45vsD but not h48.30vsD","h8.30vsD but not h48.30vsD","h48.45vsD but not h24.45vsD","h48.30vsD but not h24.45vsD","h24.30vsD but not h24.45vsD","h8.45vsD but not h24.45vsD","h8.30vsD but not h24.45vsD","h48.45vsD but not h24.30vsD","h48.30vsD but not h24.30vsD","h24.45vsD but not h24.30vsD","h8.45vsD but not h24.30vsD","h8.30vsD but not h24.30vsD","h48.45vsD but not h8.45vsD","h48.30vsD but not h8.45vsD","h24.45vsD but not h8.45vsD","h24.30vsD but not h8.45vsD","h8.30vsD but not h8.45vsD","h48.45vsD but not h8.30vsD","h48.30vsD but not h8.30vsD","h24.45vsD but not h8.30vsD","h24.30vsD but not h8.30vsD","h8.45vsD but not h8.30vsD"
"RPL35A","","","","","","","","","","","","","","SRSF7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SERPINB6","","TMEM14A","","","SHQ1","","TOP2A","","","RPP30","","ST6GALNAC3","",""
"RPL36AL","","","","","","","","","","","","","","SRXN1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SERPINE2","","TMEM14C","","","SIAH2","","TOP2B","","","RPRD2","","ST8SIA1","",""
"RPL5","","","","","","","","","","","","","","SSB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SERPINH1","","TMEM154","","","SIGIRR","","TOPORS","","","RPS10-NUDT3","","ST8SIA4","",""
"RPL6","","","","","","","","","","","","","","SSBP3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SETD7","","TMEM167A","","","SIGMAR1","","TOX","","","RPS10P1","","STAMBP","",""
"RPL7","","","","","","","","","","","","","","SSH2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SETMAR","","TMEM167B","","","SIKE1","","TP53BP1","","","RPS25","","STARD13","",""
"RPL7A","","","","","","","","","","","","","","ST13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SEZ6L2","","TMEM170B","","","SIM1","","TPD52L1","","","RPS26","","STARD3NL","",""
"RPLP0","","","","","","","","","","","","","","ST14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SF1","","TMEM18","","","SIM2","","TPGS2","","","RPS3A","","STARD4","",""
"RPP30","","","","","","","","","","","","","","ST6GAL2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SF3A1","","TMEM182","","","SIPA1L1","","TPM3","","","RPS6KA2","","STARD5","",""
"RPRD2","","","","","","","","","","","","","","ST6GALNAC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SF3A3","","TMEM184A","","","SIRT2","","TPP2","","","RPS7","","STC2","",""
"RPS10-NUDT3","","","","","","","","","","","","","","ST8SIA1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SF3B1","","TMEM19","","","SIVA1","","TPRA1","","","RPUSD4","","STEAP3","",""
"RPS10P1","","","","","","","","","","","","","","ST8SIA4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SF3B3","","TMEM209","","","SKA3","","TPT1","","","RRAGA","","STEAP4","",""
"RPS25","","","","","","","","","","","","","","STAMBP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SF3B5","","TMEM216","","","SKAP2","","TPX2","","","RRAGD","","STIL","",""
"RPS26","","","","","","","","","","","","","","STARD13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SFI1","","TMEM230","","","SKIDA1","","TRA2A","","","RRP12","","STIM1","",""
"RPS3A","","","","","","","","","","","","","","STARD3NL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SFR1","","TMEM243","","","SKP1","","TRABD2A","","","RRP15","","STIM2","",""
"RPS6KA2","","","","","","","","","","","","","","STARD4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SFRP1","","TMEM267","","","SLC11A2","","TRAF3","","","RRP36","","STIP1","",""
"RPS7","","","","","","","","","","","","","","STARD5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SGO2","","TMEM268","","","SLC12A7","","TRAFD1","","","RSBN1","","STK19","",""
"RPUSD4","","","","","","","","","","","","","","STC2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SGSM2","","TMEM39B","","","SLC12A8","","TRAPPC1","","","RSKR","","STK24","",""
"RRAGA","","","","","","","","","","","","","","STEAP3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SH2B1","","TMEM43","","","SLC16A1-AS1","","TRAPPC10","","","RSRC1","","STK32C","",""
"RRAGD","","","","","","","","","","","","","","STEAP4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SH3BGRL","","TMEM45B","","","SLC16A6","","TRAPPC6B","","","RSRC2","","STK40","",""
"RRP12","","","","","","","","","","","","","","STIL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SH3BP2","","TMEM50B","","","SLC18B1","","TRERF1","","","RTCB","","STMN1","",""
"RRP15","","","","","","","","","","","","","","STIM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SH3BP5-AS1","","TMEM52","","","SLC22A15","","TRHDE","","","RTL8B","","STON1","",""
"RRP36","","","","","","","","","","","","","","STIM2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SH3BP5L","","TMEM60","","","SLC23A2","","TRIB1","","","RTL8C","","STPG1","",""
"RSBN1","","","","","","","","","","","","","","STIP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SH3D19","","TMEM63A","","","SLC23A3","","TRIM14","","","RTN4IP1","","STRN4","",""
"RSKR","","","","","","","","","","","","","","STK19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SH3D21","","TMEM68","","","SLC25A10","","TRIM16L","","","RTN4RL2","","STT3B","",""
"RSRC1","","","","","","","","","","","","","","STK24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SH3RF1","","TMEM79","","","SLC25A11","","TRIM25","","","RUBCN","","STX16","",""
"RSRC2","","","","","","","","","","","","","","STK32C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SH3RF2","","TMEM87A","","","SLC25A12","","TRIM44","","","RUNX2","","STX7","",""
"RTCB","","","","","","","","","","","","","","STK40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SHANK3","","TMEM97","","","SLC25A13","","TRIM5","","","RUSC1","","STXBP4","",""
"RTL8B","","","","","","","","","","","","","","STMN1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SHC2","","TMPO","","","SLC25A15","","TRIM8","","","RUVBL1","","STXBP6","",""
"RTL8C","","","","","","","","","","","","","","STON1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SHCBP1","","TMPO-AS1","","","SLC25A3","","TRIOBP","","","RWDD2B","","SUB1","",""
"RTN4IP1","","","","","","","","","","","","","","STPG1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SHFL","","TMSB15A","","","SLC25A34","","TRIP12","","","S100A1","","SUCLG1","",""
"RTN4RL2","","","","","","","","","","","","","","STRN4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SHISA5","","TMT1A","","","SLC25A36","","TRIP13","","","S100A10","","SUFU","",""
"RUBCN","","","","","","","","","","","","","","STT3B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SHISA9","","TMX1","","","SLC25A40","","TRMT1","","","S100A13","","SUMF2","",""
"RUNX2","","","","","","","","","","","","","","STX16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SHLD2","","TNC","","","SLC25A43","","TRMT10B","","","SAA1","","SUN2","",""
"RUSC1","","","","","","","","","","","","","","STX7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SHMT1","","TNFAIP8L1","","","SLC25A5","","TRMT10C","","","SAA2","","SUOX","",""
"RUVBL1","","","","","","","","","","","","","","STXBP4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SHQ1","","TNFRSF10A","","","SLC26A11","","TRMT1L","","","SAAL1","","SUPT6H","",""
"RWDD2B","","","","","","","","","","","","","","STXBP6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIAH2","","TNFRSF10A-DT","","","SLC26A7","","TRMT61A","","","SACM1L","","SURF2","",""
"S100A1","","","","","","","","","","","","","","SUB1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIGIRR","","TNFRSF10B","","","SLC2A12","","TRO","","","SAFB","","SURF4","",""
"S100A10","","","","","","","","","","","","","","SUCLG1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIGMAR1","","TNFRSF12A","","","SLC2A9","","TROAP","","","SAMD12","","SYAP1","",""
"S100A13","","","","","","","","","","","","","","SUFU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIKE1","","TNFRSF19","","","SLC30A6","","TRPC4AP","","","SAMD15","","SYBU","",""
"SAA1","","","","","","","","","","","","","","SUMF2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIM1","","TNFRSF9","","","SLC30A7","","TRPM2","","","SAMD4A","","SYCP2","",""
"SAA2","","","","","","","","","","","","","","SUN2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIM2","","TNIP1","","","SLC31A1","","TRPS1","","","SAMD4B","","SYK","",""
"SAAL1","","","","","","","","","","","","","","SUOX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIPA1L1","","TNIP2","","","SLC33A1","","TRPV6","","","SAMM50","","SYNC","",""
"SACM1L","","","","","","","","","","","","","","SUPT6H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIRT2","","TNRC6B","","","SLC35B2","","TSHR","","","SAP18","","SYNCRIP","",""
"SAFB","","","","","","","","","","","","","","SURF2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIVA1","","TNS1","","","SLC35C2","","TSHZ1","","","SAP30","","SYNE1","",""
"SAMD12","","","","","","","","","","","","","","SURF4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SKA3","","TNS3","","","SLC35E1","","TSLP","","","SAPCD2","","SYNE3","",""
"SAMD15","","","","","","","","","","","","","","SYAP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SKAP2","","TOM1L1","","","SLC35F6","","TSPAN12","","","SAR1A","","SYNJ2BP","",""
"SAMD4A","","","","","","","","","","","","","","SYBU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SKIDA1","","TOM1L2","","","SLC35G2","","TSPAN13","","","SARM1","","SYPL1","",""
"SAMD4B","","","","","","","","","","","","","","SYCP2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SKP1","","TOMM40L","","","SLC38A9","","TSPAN6","","","SARNP","","SYT7","",""
"SAMM50","","","","","","","","","","","","","","SYK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC11A2","","TOMM6","","","SLC39A10","","TSSK6","","","SARS1","","SYTL1","",""
"SAP18","","","","","","","","","","","","","","SYNC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC12A7","","TOMM70","","","SLC41A1","","TSTD2","","","SARS2","","SZT2","",""
"SAP30","","","","","","","","","","","","","","SYNCRIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC16A1-AS1","","TOP1","","","SLC43A1","","TTC1","","","SAV1","","TAB3","",""
"SAPCD2","","","","","","","","","","","","","","SYNE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC16A6","","TOP1MT","","","SLC44A2","","TTC17","","","SBDSP1","","TACC1","",""
"SAR1A","","","","","","","","","","","","","","SYNE3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC18B1","","TOP2A","","","SLC48A1","","TTC19","","","SBNO2","","TACC2","",""
"SARM1","","","","","","","","","","","","","","SYNJ2BP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC22A15","","TOP2B","","","SLC4A1AP","","TTC7B","","","SCAF8","","TACC3","",""
"SARNP","","","","","","","","","","","","","","SYPL1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC23A2","","TOPORS","","","SLC4A8","","TTK","","","SCAMP4","","TADA2B","",""
"SARS1","","","","","","","","","","","","","","SYT7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC23A3","","TOX","","","SLC6A11","","TTPAL","","","SCARA3","","TAF9B","",""
"SARS2","","","","","","","","","","","","","","SYTL1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC25A10","","TP53BP1","","","SLC6A15","","TUB","","","SCARB2","","TAGLN2","",""
"SAV1","","","","","","","","","","","","","","SZT2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC25A11","","TPD52L1","","","SLC7A5","","TUBA1A","","","SCD","","TANC2","",""
"SBDSP1","","","","","","","","","","","","","","TAB3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC25A12","","TPGS2","","","SLC7A6","","TUBA1B","","","SCFD2","","TAOK3","",""
"SBNO2","","","","","","","","","","","","","","TACC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC25A13","","TPM3","","","SLC9A1","","TUBA1C","","","SCMH1","","TAP2","",""
"SCAF8","","","","","","","","","","","","","","TACC2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC25A15","","TPP2","","","SLC9A7","","TUBB","","","SCN1B","","TARDBP","",""
"SCAMP4","","","","","","","","","","","","","","TACC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC25A24","","TPRA1","","","SLC9A8","","TUBB4A","","","SCN2B","","TARS1","",""
"SCARA3","","","","","","","","","","","","","","TADA2B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC25A3","","TPT1","","","SLCO2A1","","TUBB4B","","","SCN4A","","TATDN1","",""
"SCARB2","","","","","","","","","","","","","","TAF9B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC25A34","","TPX2","","","SLCO4A1","","TULP4","","","SDC2","","TATDN3","",""
"SCD","","","","","","","","","","","","","","TAGLN2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC25A36","","TRA2A","","","SLFN5","","TUT4","","","SDC4","","TBKBP1","",""
"SCFD2","","","","","","","","","","","","","","TANC2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC25A40","","TRABD2A","","","SLIRP","","TWNK","","","SDF2L1","","TBL1X","",""
"SCMH1","","","","","","","","","","","","","","TAOK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC25A43","","TRAF3","","","SLIT1","","TWSG1","","","SDHA","","TBL1XR1","",""
"SCN1B","","","","","","","","","","","","","","TAP2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC25A5","","TRAFD1","","","SLMAP","","TXLNG","","","SDHC","","TBRG1","",""
"SCN2B","","","","","","","","","","","","","","TARDBP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC26A11","","TRAPPC1","","","SMAD7","","TXNDC11","","","SDHD","","TCAF1","",""
"SCN4A","","","","","","","","","","","","","","TARS1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC26A7","","TRAPPC10","","","SMARCA5","","TXNDC12","","","SDSL","","TCEA1","",""
"SDC2","","","","","","","","","","","","","","TATDN1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC2A12","","TRAPPC6B","","","SMARCA5-AS1","","TXNDC15","","","SEC23A","","TCEAL8","",""
"SDC4","","","","","","","","","","","","","","TATDN3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC2A9","","TRERF1","","","SMARCE1","","TXNDC9","","","SEC23B","","TCEAL9","",""
"SDF2L1","","","","","","","","","","","","","","TBKBP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC30A6","","TRHDE","","","SMC2","","TXNL4B","","","SEC61A1","","TCERG1","",""
"SDHA","","","","","","","","","","","","","","TBL1X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC30A7","","TRIB1","","","SMC3","","TXNRD1","","","SEC63","","TCF12","",""
"SDHC","","","","","","","","","","","","","","TBL1XR1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC31A1","","TRIM14","","","SMC4","","TYMP","","","SEH1L","","TCF20","",""
"SDHD","","","","","","","","","","","","","","TBRG1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC33A1","","TRIM24","","","SMCR8","","TYMS","","","SEL1L","","TCP1","",""
"SDSL","","","","","","","","","","","","","","TCAF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC35B2","","TRIM25","","","SMIM10L1","","TYW5","","","SEL1L3","","TCP11L2","",""
"SEC23A","","","","","","","","","","","","","","TCEA1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC35C2","","TRIM44","","","SMIM34","","U2AF2","","","SELENOH","","TCTN2","",""
"SEC23B","","","","","","","","","","","","","","TCEAL8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC35E1","","TRIM5","","","SMOX","","UAP1","","","SELENOT","","TCTN3","",""
"SEC61A1","","","","","","","","","","","","","","TCEAL9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC35F6","","TRIM8","","","SMPDL3A","","UBA1","","","SELENOV","","TEAD2","",""
"SEC63","","","","","","","","","","","","","","TCERG1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC35G2","","TRIOBP","","","SMS","","UBAC1","","","SEM1","","TECR","",""
"SEH1L","","","","","","","","","","","","","","TCF12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC38A9","","TRIP12","","","SMTN","","UBALD2","","","SEMA3F","","TENM3","",""
"SEL1L","","","","","","","","","","","","","","TCF20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC39A10","","TRIP13","","","SMYD2","","UBE2C","","","SEMA5B","","TENT5B","",""
"SEL1L3","","","","","","","","","","","","","","TCP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC41A1","","TRMT1","","","SNAPIN","","UBE2E1","","","SENP5","","TES","",""
"SELENOH","","","","","","","","","","","","","","TCP11L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC44A2","","TRMT10B","","","SND1","","UBE2L3","","","SEPHS2","","TET3","",""
"SELENOT","","","","","","","","","","","","","","TCTN2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC48A1","","TRMT10C","","","SNHG17","","UBE2N","","","SEPTIN7","","TEX10","",""
"SELENOV","","","","","","","","","","","","","","TCTN3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC4A1AP","","TRMT1L","","","SNHG32","","UBE2T","","","SERBP1","","TFAP2A","",""
"SEM1","","","","","","","","","","","","","","TEAD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC4A8","","TRMT61A","","","SNHG7","","UBE2V2","","","SERINC1","","TFDP1","",""
"SEMA3F","","","","","","","","","","","","","","TECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC6A11","","TRO","","","SNPH","","UBFD1","","","SERINC2","","TFE3","",""
"SEMA5B","","","","","","","","","","","","","","TENM3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC6A15","","TROAP","","","SNRNP25","","UBQLN2","","","SERINC3","","TFIP11","",""
"SENP5","","","","","","","","","","","","","","TENT5B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC6A9","","TRPC4AP","","","SNRNP35","","UBR3","","","SERP1","","TGFA","",""
"SEPHS2","","","","","","","","","","","","","","TES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC7A5","","TRPM2","","","SNRNP70","","UBTD1","","","SERPINB6","","TGFB2","",""
"SEPTIN7","","","","","","","","","","","","","","TET3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC7A6","","TRPS1","","","SNRPA","","UBXN2B","","","SERPINE2","","TGFBR2","",""
"SERBP1","","","","","","","","","","","","","","TEX10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC9A1","","TRPV6","","","SNRPA1","","UCHL1","","","SERPINH1","","TGIF1","",""
"SERINC1","","","","","","","","","","","","","","TFAP2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC9A7","","TSC22D1","","","SNRPB","","UFD1","","","SESN2","","TGM1","",""
"SERINC2","","","","","","","","","","","","","","TFDP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLC9A8","","TSC22D3","","","SNRPB2","","UGDH","","","SETD7","","THAP10","",""
"SERINC3","","","","","","","","","","","","","","TFE3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLCO2A1","","TSEN15","","","SNRPD1","","UGT2B7","","","SETMAR","","THAP9-AS1","",""
"SERP1","","","","","","","","","","","","","","TFIP11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLCO4A1","","TSHR","","","SNRPD2","","UHRF1","","","SEZ6L2","","THEM4","",""
"SERPINB6","","","","","","","","","","","","","","TGFA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLFN5","","TSHZ1","","","SNRPD3","","UHRF2","","","SF1","","THOC3","",""
"SERPINE2","","","","","","","","","","","","","","TGFB2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLIRP","","TSLP","","","SNRPF","","ULK1","","","SF3A1","","THRAP3","",""
"SERPINH1","","","","","","","","","","","","","","TGFBR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLIT1","","TSPAN12","","","SNRPG","","UNC119B","","","SF3A3","","THRSP","",""
"SESN2","","","","","","","","","","","","","","TGIF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SLMAP","","TSPAN13","","","SNTB2","","UNC13D","","","SF3B1","","TIA1","",""
"SETD7","","","","","","","","","","","","","","TGM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMAD7","","TSPAN6","","","SNW1","","UNC5C","","","SF3B3","","TICRR","",""
"SETMAR","","","","","","","","","","","","","","THAP10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMARCA5","","TSPYL1","","","SNX12","","UNG","","","SF3B5","","TIGD2","",""
"SEZ6L2","","","","","","","","","","","","","","THAP9-AS1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMARCA5-AS1","","TSSK6","","","SNX15","","UPF3A","","","SFI1","","TIMM17A","",""
"SF1","","","","","","","","","","","","","","THEM4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMARCE1","","TSTD2","","","SNX19","","UPK1A-AS1","","","SFPQ","","TIMM21","",""
"SF3A1","","","","","","","","","","","","","","THOC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMC2","","TTC1","","","SNX2","","UQCRB","","","SFR1","","TIMM23","",""
"SF3A3","","","","","","","","","","","","","","THRAP3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMC3","","TTC17","","","SNX3","","UQCRC2","","","SFRP1","","TIMM44","",""
"SF3B1","","","","","","","","","","","","","","THRSP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMC4","","TTC19","","","SNX30","","UQCRFS1","","","SGO2","","TIMM9","",""
"SF3B3","","","","","","","","","","","","","","TIA1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMCR8","","TTC39B","","","SNX6","","USF1","","","SGSM2","","TIMMDC1","",""
"SF3B5","","","","","","","","","","","","","","TICRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMIM10L1","","TTC7B","","","SOAT2","","USP14","","","SH2B1","","TIMP4","",""
"SFI1","","","","","","","","","","","","","","TIGD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMIM34","","TTK","","","SOCS2","","USP15","","","SH3BGRL","","TINAGL1","",""
"SFPQ","","","","","","","","","","","","","","TIMM17A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMOX","","TTPAL","","","SOCS3","","USP22","","","SH3BP2","","TJAP1","",""
"SFR1","","","","","","","","","","","","","","TIMM21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMPDL3A","","TUB","","","SOCS3-DT","","USP3","","","SH3BP5-AS1","","TJP2","",""
"SFRP1","","","","","","","","","","","","","","TIMM23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMS","","TUBA1A","","","SOCS4","","USP35","","","SH3BP5L","","TK1","",""
"SGO2","","","","","","","","","","","","","","TIMM44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMTN","","TUBA1B","","","SOCS7","","USP36","","","SH3D19","","TLCD2","",""
"SGSM2","","","","","","","","","","","","","","TIMM9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMYD2","","TUBA1C","","","SOD1","","USP46","","","SH3D21","","TLK2","",""
"SH2B1","","","","","","","","","","","","","","TIMMDC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNAPIN","","TUBB","","","SOD2","","USP48","","","SH3RF1","","TLX3","",""
"SH3BGRL","","","","","","","","","","","","","","TIMP4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SND1","","TUBB4A","","","SORCS1","","USP5","","","SH3RF2","","TM2D2","",""
